timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
19 1 7 0.33846844117589997 0.06153155882410005
19 5 10 0.3798565886913021 0.0201434113086979
20 1 7 0.3912151306721637 0.008784869327836342
27 11 18 0.3822164872903844 0.017783512709615645
28 11 18 0.34011907314745515 0.05988092685254487
30 11 18 0.23698058640102113 0.1630194135989789
37 16 22 0.298319253490568 0.10168074650943204
40 16 22 0.3049088638388419 0.09509113616115811
42 19 25 0.21473214095647788 0.18526785904352214
43 16 22 0.33683309095174285 0.06316690904825717
44 16 22 0.23144006227682912 0.1685599377231709
45 16 22 0.23144006227682912 0.1685599377231709
49 21 27 0.3175776020504944 0.08242239794950562
53 2 12 0.3604796209043268 0.03952037909567324
53 16 22 0.3902936336956951 0.009706366304304936
54 2 12 0.3604796209043268 0.03952037909567324
55 2 12 0.3742253827718253 0.0257746172281747
55 22 26 0.21094042012400166 0.18905957987599836
58 22 27 0.39005268385164765 0.00994731614835237
61 34 40 0.3642722562739601 0.03572774372603993
62 34 40 0.3427769980052953 0.0572230019947047
63 16 21 0.23463482589937784 0.16536517410062218
64 9 18 0.39580685077579686 0.004193149224203163
64 34 40 0.22339970134403145 0.17660029865596857
65 9 18 0.39580685077579686 0.004193149224203163
69 16 31 0.36568037779890605 0.03431962220109397
70 34 39 0.3877660592216552 0.012233940778344832
70 35 40 0.30045778301363385 0.09954221698636617
71 34 39 0.27516432203331687 0.12483567796668316
71 36 42 0.2715643577626435 0.12843564223735654
72 16 31 0.3205500309457126 0.07944996905428742
73 16 21 0.3667129067724725 0.03328709322752754
74 16 21 0.32203303956596907 0.07796696043403095
76 16 21 0.33156095151494386 0.06843904848505616
80 29 39 0.3154844007942826 0.08451559920571744
81 47 53 0.21862195378290422 0.1813780462170958
84 52 53 0.3754165690141525 0.024583430985847532
85 2 7 0.3951311053468309 0.004868894653169142
86 3 30 0.39766516117402223 0.002334838825977792
86 41 47 0.30020924650600855 0.09979075349399147
87 2 7 0.38640706592167073 0.013592934078329288
88 2 7 0.3776837891457924 0.022316210854207597
88 11 26 0.3966549980023227 0.0033450019976773437
89 2 7 0.3689613291126799 0.031038670887320097
89 10 23 0.3840344460821242 0.015965553917875797
89 20 26 0.39412684206888915 0.005873157931110873
89 33 38 0.3961492661322995 0.0038507338677005176
90 2 7 0.3689613291126799 0.031038670887320097
90 20 27 0.27808341949158655 0.12191658050841347
90 46 51 0.30444524461989453 0.0955547553801055
91 2 7 0.3602397451495465 0.039760254850453536
91 20 31 0.3586296072475857 0.04137039275241433
92 2 7 0.3515191024652402 0.048480897534759815
93 54 60 0.3618214233587423 0.03817857664125773
94 2 7 0.3427994728967197 0.05720052710328033
94 47 52 0.28425467322628345 0.11574532677371657
95 27 31 0.27325882381158484 0.12674117618841518
95 41 47 0.27521046189639103 0.12478953810360899
95 54 60 0.22809703545683 0.17190296454317003
96 14 28 0.38489380321362204 0.015106196786377979
98 10 28 0.28854050508928364 0.11145949491071638
99 10 28 0.28854050508928364 0.11145949491071638
99 54 60 0.3569837936123335 0.04301620638766651
100 6 27 0.33254939588289145 0.06745060411710857
101 32 37 0.3702481011979121 0.029751898802087895
101 61 62 0.36904297188024876 0.030957028119751262
102 61 62 0.3332614981153652 0.06673850188463482
103 10 21 0.3637851833988738 0.03621481660112624
103 64 65 0.31223482461027136 0.08776517538972867
105 19 25 0.35432627074557116 0.04567372925442886
105 33 38 0.3901675062167062 0.009832493783293816
106 12 55 0.32565445769245593 0.07434554230754409
106 33 38 0.3901675062167062 0.009832493783293816
109 54 59 0.38490784361806324 0.015092156381936783
110 2 50 0.23380778909058164 0.16619221090941838
110 54 59 0.38490784361806324 0.015092156381936783
111 25 37 0.39461998181585123 0.005380018184148794
112 1 4 0.30904563766709064 0.09095436233290938
112 8 35 0.2849220651782457 0.11507793482175432
112 25 37 0.33057893958365664 0.06942106041634338
112 72 73 0.35746975869550063 0.042530241304499394
114 1 17 0.23899971167092351 0.1610002883290765
114 12 65 0.3925577756805638 0.007442224319436197
114 36 51 0.3438539830985664 0.056146016901433615
117 27 31 0.37726533454116534 0.02273466545883468
118 19 43 0.3387988980085746 0.06120110199142542
119 19 43 0.3984460897247804 0.0015539102752196166
120 19 43 0.3984460897247804 0.0015539102752196166
122 77 78 0.365192790353901 0.03480720964609901
125 56 61 0.3640169924157891 0.03598300758421091
127 1 27 0.3134275005227509 0.0865724994772491
127 22 28 0.38161182131883653 0.018388178681163492
128 48 58 0.36572423102381546 0.03427576897618456
129 22 28 0.31462105630975773 0.08537894369024229
129 48 58 0.36572423102381546 0.03427576897618456
130 1 27 0.3601481193719733 0.03985188062802675
130 22 28 0.2869504693847918 0.11304953061520823
130 48 58 0.319064078912736 0.080935921087264
130 75 80 0.36883774890602294 0.031162251093977078
130 76 83 0.36907647018094986 0.030923529819050166
131 1 27 0.2537258152958084 0.14627418470419162
131 26 70 0.30799988836344755 0.09200011163655247
131 27 31 0.3964993147949657 0.0035006852050343262
131 33 39 0.37815437515307054 0.02184562484692948
131 76 83 0.36907647018094986 0.030923529819050166
132 5 48 0.3025757228151028 0.09742427718489721
133 5 48 0.3025757228151028 0.09742427718489721
133 16 38 0.3005541262617835 0.0994458737382165
133 22 28 0.3358174737239488 0.0641825262760512
133 47 52 0.3770624498885522 0.022937550111447824
133 69 84 0.3405283815456214 0.05947161845437865
134 5 48 0.3750068493879397 0.02499315061206031
134 17 70 0.285715646598474 0.11428435340152604
135 4 31 0.37189310581932244 0.028106894180677577
135 5 48 0.3750068493879397 0.02499315061206031
135 16 38 0.20467002222895236 0.19532997777104766
135 17 70 0.285715646598474 0.11428435340152604
135 29 34 0.27621509551007317 0.12378490448992685
137 1 4 0.34771183439015574 0.052288165609844284
137 36 42 0.31230609831223444 0.08769390168776559
138 1 4 0.34771183439015574 0.052288165609844284
138 29 34 0.3567895243204206 0.04321047567957942
138 30 51 0.29704677612003866 0.10295322387996136
139 1 4 0.3973644854635582 0.002635514536441841
139 27 65 0.3638367831871765 0.03616321681282353
139 30 51 0.30472577280183216 0.09527422719816786
139 40 51 0.3923552458086569 0.007644754191343139
140 7 8 0.3310651390414066 0.06893486095859341
140 44 62 0.2275757892399585 0.17242421076004152
142 50 59 0.39817869103917636 0.0018213089608236643
143 1 20 0.30100218509248844 0.09899781490751158
143 5 58 0.3025255442353736 0.09747445576462643
143 6 28 0.3909203285052049 0.009079671494795105
144 5 58 0.3025255442353736 0.09747445576462643
144 22 70 0.37278434885543565 0.027215651144564368
145 34 47 0.35430659262603914 0.04569340737396088
145 50 59 0.2960947884257496 0.10390521157425042
146 6 28 0.39781962874901206 0.002180371250987967
146 65 80 0.3103898598181957 0.0896101401818043
147 6 28 0.39638911837875146 0.003610881621248563
147 29 44 0.36878338334441246 0.03121661665558756
147 40 63 0.288424354022331 0.111575645977669
147 65 80 0.36850827911770384 0.03149172088229618
148 15 39 0.32908428509254595 0.07091571490745407
148 42 49 0.37066764888102505 0.029332351118974975
149 15 24 0.34967382943169595 0.050326170568304074
149 15 39 0.39155556098990685 0.008444439010093174
149 30 37 0.3254949756377418 0.0745050243622582
149 61 62 0.28038066018236085 0.11961933981763917
150 5 54 0.3152226778577982 0.08477732214220185
150 6 22 0.27077913252624375 0.12922086747375627
150 15 24 0.3789856652777979 0.0210143347222021
150 40 41 0.36045075185455844 0.039549248145441585
151 46 62 0.37119843119110774 0.028801568808892286
152 2 8 0.3186948027042573 0.0813051972957427
153 30 37 0.3484420519109013 0.05155794808909875
153 53 72 0.36413128578569176 0.03586871421430826
154 24 39 0.2154375796068539 0.18456242039314613
154 27 31 0.3490281644773587 0.05097183552264134
155 41 61 0.37392351175944794 0.026076488240552087
155 48 58 0.32609491341664026 0.07390508658335976
156 10 14 0.33473924803792326 0.06526075196207676
156 10 65 0.334470346482704 0.065529653517296
156 22 28 0.37847642749433086 0.021523572505669164
157 13 31 0.3798524114228838 0.020147588577116238
157 14 85 0.2796192954715187 0.12038070452848132
157 21 24 0.3178145599658337 0.08218544003416633
157 22 28 0.32076628516308386 0.07923371483691616
157 35 55 0.3808376446839367 0.019162355316063306
157 68 74 0.34203493146363134 0.05796506853636868
158 22 28 0.32076628516308386 0.07923371483691616
158 39 80 0.37477220765457525 0.02522779234542477
158 50 59 0.2719469315636453 0.12805306843635472
159 20 27 0.36264929700628085 0.037350702993719176
159 22 28 0.2637095474841341 0.1362904525158659
159 53 72 0.3955330736624231 0.004466926337576949
159 75 85 0.3568234979341008 0.043176502065899236
160 21 24 0.3282468794439038 0.07175312055609623
160 56 63 0.3901651380251572 0.009834861974842846
160 57 71 0.34732564558060164 0.052674354419398384
161 20 27 0.34694662782760594 0.05305337217239409
161 24 65 0.3032548379045526 0.09674516209544742
