timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
2 3 4 0.3991139586366267 8.860413633733355E-4
2 4 5 0.3995954227931782 4.04577206821799E-4
2 7 8 0.39220451173049864 0.007795488269501383
2 16 17 0.3973868877844395 0.0026131122155605424
2 17 18 0.3950826718446235 0.0049173281553765436
3 3 4 0.3970017007000432 0.002998299299956819
3 4 5 0.3948702709404695 0.005129729059530519
3 7 8 0.3869623263827152 0.013037673617284806
3 9 10 0.3963718030953417 0.0036281969046583207
3 16 17 0.396112521755255 0.003887478244745002
4 3 4 0.3856550639479143 0.0143449360520857
4 7 8 0.3929995296987566 0.0070004703012434
4 9 10 0.39559437243756024 0.0044056275624397845
5 3 4 0.37515055452686347 0.024849445473136555
5 4 5 0.39933623496343146 6.637650365685643E-4
6 3 4 0.36237259900768454 0.037627400992315485
6 4 5 0.3998737282248557 1.2627177514434873E-4
7 3 4 0.38248345447088233 0.01751654552911769
7 4 5 0.394945182578945 0.005054817421055013
19 11 12 0.39818083755626604 0.0018191624437339793
20 11 12 0.35546886710543973 0.04453113289456029
27 9 20 0.39414871926541506 0.005851280734584963
37 7 18 0.3909587579062387 0.009041242093761337
41 6 16 0.38783374270982823 0.01216625729017179
42 5 17 0.3742507732421726 0.025749226757827426
42 6 16 0.35785002467845034 0.04214997532154968
43 6 16 0.333244911875922 0.06675508812407804
44 6 16 0.3601114078572985 0.03988859214270152
45 6 16 0.3726817484520657 0.027318251547934325
47 6 15 0.39786667739147497 0.0021333226085250567
48 6 16 0.388160661496281 0.011839338503719044
49 1 15 0.39328139359214503 0.006718606407854988
